guests,Price_Night,Value_rate,amenities_count
4.0,66.0,4.9,38.0
2.0,144.0,4.9,47.0
2.0,135.0,4.9,51.0
2.0,75.0,4.9,33.0
2.0,81.0,4.8,23.0
6.0,187.0,4.8,30.0
4.0,107.0,4.6,30.0
4.0,108.0,4.8,36.0
5.0,120.0,4.9,34.0
6.0,93.0,4.8,30.0
2.0,78.0,4.9,47.0
4.0,105.0,4.8,39.0
2.0,92.0,4.9,19.0
2.0,66.0,4.9,49.0
4.0,64.0,4.6,39.0
2.0,66.0,4.9,41.0
1.0,62.0,4.9,19.0
2.0,41.0,4.9,42.0
7.0,72.0,4.9,49.0
2.0,95.0,4.9,29.0
6.0,89.0,4.9,46.0
4.0,112.0,4.8,39.0
2.0,66.0,4.9,23.0
1.0,44.0,5.0,39.0
4.0,130.0,5.0,53.0
5.0,264.0,4.6,34.0
10.0,196.0,4.8,30.0
1.0,105.0,4.9,23.0
2.0,135.0,4.9,28.0
4.0,80.0,4.5,20.0
2.0,172.0,4.5,23.0
4.0,138.0,4.9,35.0
2.0,158.0,4.8,22.0
4.0,150.0,4.8,50.0
4.0,110.0,4.8,32.0
2.0,90.0,4.8,37.0
2.0,144.0,4.9,39.0
2.0,107.0,4.8,27.0
1.0,95.0,4.8,26.0
2.0,132.0,4.9,32.0
2.0,125.0,4.9,24.0
4.0,255.0,4.8,30.0
6.0,137.0,4.7,44.0
2.0,140.0,4.9,38.0
2.0,93.0,4.9,45.0
4.0,124.0,4.8,26.0
2.0,78.0,4.8,17.0
2.0,132.0,4.9,35.0
4.0,120.0,4.7,40.0
3.0,69.0,4.8,41.0
2.0,108.0,5.0,36.0
4.0,95.0,4.8,33.0
2.0,150.0,5.0,48.0
4.0,168.0,4.8,53.0
4.0,71.0,4.9,46.0
2.0,143.0,4.8,47.0
2.0,135.0,4.8,21.0
2.0,143.0,4.8,19.0
2.0,102.0,4.9,17.0
4.0,50.0,4.9,30.0
2.0,120.0,4.9,36.0
4.0,177.0,4.7,26.0
4.0,150.0,4.8,23.0
2.0,125.0,5.0,44.0
7.0,312.0,4.7,66.0
1.0,97.0,4.4,14.0
4.0,75.0,4.9,25.0
6.0,209.0,4.8,39.0
2.0,91.0,4.9,53.0
2.0,58.0,4.7,26.0
4.0,119.0,4.5,33.0
4.0,78.0,4.9,31.0
2.0,117.0,5.0,41.0
3.0,88.0,4.7,60.0
2.0,163.0,4.9,15.0
2.0,84.0,4.9,45.0
2.0,113.0,4.7,30.0
6.0,158.0,4.6,15.0
2.0,87.0,4.8,47.0
2.0,222.0,4.6,17.0
2.0,194.0,4.8,47.0
8.0,130.0,4.8,20.0
2.0,125.0,4.7,15.0
2.0,129.0,4.8,32.0
2.0,86.0,4.8,33.0
2.0,113.0,4.8,23.0
2.0,124.0,4.8,34.0
2.0,250.0,4.8,49.0
4.0,120.0,4.8,48.0
2.0,145.0,4.9,25.0
2.0,90.0,4.9,25.0
4.0,136.0,4.9,30.0
2.0,119.0,4.6,18.0
2.0,100.0,4.5,18.0
2.0,107.0,5.0,25.0
3.0,164.0,4.8,44.0
2.0,135.0,4.8,21.0
2.0,102.0,4.9,47.0
4.0,58.0,4.5,33.0
4.0,176.0,4.6,44.0
5.0,129.0,4.9,40.0
2.0,132.0,4.9,35.0
5.0,139.0,4.9,61.0
2.0,119.0,4.8,39.0
2.0,94.0,4.8,33.0
2.0,94.0,4.9,33.0
4.0,99.0,4.9,18.0
2.0,128.0,4.9,46.0
4.0,250.0,4.7,40.0
4.0,150.0,4.8,45.0
6.0,152.0,4.7,57.0
6.0,175.0,4.7,50.0
4.0,225.0,4.8,38.0
6.0,230.0,4.7,46.0
2.0,104.0,4.9,39.0
4.0,170.0,4.9,56.0
12.0,286.0,4.8,38.0
4.0,215.0,4.9,77.0
2.0,129.0,4.9,58.0
4.0,116.0,4.9,59.0
2.0,173.0,4.7,64.0
8.0,179.0,4.6,40.0
2.0,148.0,4.9,21.0
2.0,128.0,4.9,54.0
6.0,205.0,4.6,44.0
6.0,162.0,4.0,41.0
5.0,425.0,4.9,49.0
12.0,425.0,4.7,57.0
4.0,93.0,4.8,39.0
10.0,670.0,4.3,42.0
4.0,124.0,4.8,51.0
2.0,166.0,4.8,54.0
2.0,141.0,4.8,54.0
4.0,210.0,4.9,50.0
4.0,148.0,4.6,47.0
4.0,65.0,5.0,35.0
8.0,249.0,4.9,69.0
2.0,137.0,4.7,41.0
6.0,311.0,4.7,48.0
14.0,675.0,4.7,44.0
2.0,86.0,4.8,50.0
5.0,120.0,4.3,40.0
10.0,369.0,4.2,35.0
2.0,80.0,4.8,24.0
5.0,114.0,4.9,35.0
2.0,69.0,4.8,30.0
4.0,100.0,4.9,58.0
6.0,200.0,4.8,68.0
2.0,62.0,4.9,59.0
2.0,84.0,4.9,58.0
8.0,500.0,4.9,42.0
6.0,568.0,4.8,36.0
9.0,454.0,4.7,34.0
2.0,99.0,4.8,35.0
4.0,186.0,4.9,41.0
2.0,49.0,4.9,29.0
2.0,62.0,4.9,16.0
5.0,101.0,4.9,47.0
4.0,44.0,4.7,42.0
3.0,87.0,4.9,61.0
2.0,113.0,4.8,52.0
3.0,90.0,4.8,65.0
4.0,296.0,4.8,42.0
2.0,127.0,4.6,41.0
4.0,113.0,5.0,32.0
6.0,241.0,4.7,21.0
8.0,372.0,4.8,39.0
6.0,210.0,4.7,59.0
4.0,69.0,4.8,28.0
5.0,72.0,4.6,62.0
2.0,108.0,4.9,41.0
2.0,64.0,5.0,24.0
4.0,72.0,4.9,47.0
4.0,160.0,4.9,38.0
6.0,191.0,4.6,38.0
4.0,69.0,4.8,48.0
6.0,236.0,4.2,43.0
2.0,126.0,4.9,24.0
4.0,143.0,4.9,54.0
2.0,122.0,4.7,27.0
4.0,102.0,4.8,57.0
4.0,86.0,4.9,58.0
2.0,120.0,4.6,18.0
2.0,189.0,4.7,36.0
4.0,109.0,5.0,37.0
3.0,86.0,4.9,31.0
4.0,132.0,4.9,30.0
8.0,176.0,4.8,62.0
4.0,125.0,5.0,32.0
6.0,250.0,4.9,67.0
5.0,93.0,4.7,34.0
2.0,85.0,5.0,21.0
4.0,54.0,4.8,25.0
3.0,54.0,4.9,40.0
2.0,89.0,4.9,23.0
4.0,53.0,5.0,36.0
2.0,81.0,4.8,54.0
6.0,97.0,4.9,43.0
2.0,107.0,4.9,32.0
4.0,65.0,4.8,59.0
2.0,65.0,4.9,41.0
4.0,217.0,4.5,41.0
1.0,105.0,4.9,45.0
5.0,107.0,4.7,27.0
2.0,120.0,5.0,16.0
5.0,114.0,4.9,35.0
2.0,112.0,4.9,24.0
2.0,225.0,4.6,38.0
4.0,103.0,5.0,48.0
8.0,790.0,4.8,20.0
4.0,133.0,5.0,33.0
4.0,115.0,5.0,52.0
4.0,73.0,4.5,18.0
8.0,297.0,4.9,60.0
3.0,135.0,4.8,43.0
4.0,95.0,4.9,42.0
4.0,120.0,5.0,55.0
6.0,181.0,4.4,46.0
12.0,238.0,4.8,51.0
7.0,174.0,4.7,70.0
